site,date,start_hour,value,variable,units,quality,prelim,name 
2899,2015-01-03,8,0.0754,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,9,0.0564,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,10,0.0271,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,11,0.0162,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,12,0.0173,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,13,0.0218,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,14,0.0200,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,15,0.0180,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,16,0.0198,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,17,0.0212,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,18,0.0235,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,19,0.0366,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,20,0.0771,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,21,0.0835,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,22,0.0690,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2849,2015-01-04,0,0.0145,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,1,0.0074,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,2,0.0075,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,5,0.0106,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,6,0.0102,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,7,0.0098,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,8,0.0073,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,9,0.0159,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,10,0.0210,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,11,0.0197,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,12,0.0172,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,13,0.0181,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,14,0.0185,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,15,0.0193,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,16,0.0214,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,17,0.0186,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,18,0.0156,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,19,0.0128,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,20,0.0102,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,21,0.0078,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,22,0.0062,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,23,0.0078,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
3774,2015-01-04,0,0.1063,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,1,0.1261,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,2,0.1308,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,3,0.1255,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,5,0.0931,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,6,0.0902,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,7,0.1237,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,8,0.0832,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,9,0.0613,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,10,0.0525,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,11,0.0318,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,12,0.0273,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,13,0.0263,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,14,0.0224,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,15,0.0170,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,16,0.0154,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,17,0.0184,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,18,0.0225,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,19,0.0198,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,20,0.0209,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,21,0.0459,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,22,0.0599,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,23,0.0682,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
2899,2015-01-04,0,0.0601,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,1,0.0629,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,2,0.0520,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,5,0.0415,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,6,0.0449,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,7,0.0594,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,8,0.0475,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,9,0.0380,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,10,0.0352,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,11,0.0367,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,12,0.0362,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,13,0.0294,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,14,0.0257,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,15,0.0226,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,16,0.0225,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,17,0.0279,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,18,0.0492,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,19,0.0809,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,20,0.0965,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,21,0.0772,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,22,0.0651,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2849,2015-01-05,0,0.0119,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,1,0.0065,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,2,0.0050,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,5,0.0055,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,6,0.0072,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,7,0.0128,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,8,0.0079,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,9,0.0224,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,10,0.0232,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,11,0.0117,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,12,0.0124,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,13,0.0117,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,14,0.0106,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
