site,date,start_hour,value,variable,units,quality,prelim,name 
2899,2015-01-03,15,0.0432,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,16,0.0392,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,17,0.0346,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,18,0.0298,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,19,0.0186,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,20,0.0062,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,21,0.0061,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,22,0.0063,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2849,2015-01-04,0,0.0188,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,1,0.0266,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,2,0.0271,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,5,0.0182,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,6,0.0179,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,7,0.0235,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,8,0.0253,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,9,0.0253,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,10,0.0263,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,11,0.0309,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,12,0.0350,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,13,0.0359,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,14,0.0370,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,15,0.0360,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,16,0.0291,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,17,0.0253,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,18,0.0262,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,19,0.0258,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,20,0.0262,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,21,0.0260,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,22,0.0260,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-04,23,0.0230,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
3774,2015-01-04,0,0.0000,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,1,0.0003,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,2,0.0002,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,8,0.0018,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,9,0.0063,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,10,0.0122,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,11,0.0250,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,12,0.0330,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,13,0.0362,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,14,0.0366,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,15,0.0379,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,16,0.0358,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,17,0.0305,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,18,0.0252,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,19,0.0296,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,20,0.0222,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,21,0.0013,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
2899,2015-01-04,0,0.0061,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,1,0.0060,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,2,0.0060,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,5,0.0064,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,6,0.0062,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,7,0.0074,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,8,0.0131,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,9,0.0192,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,10,0.0242,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,11,0.0272,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,12,0.0327,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,13,0.0401,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,14,0.0423,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
