site,date,start_hour,value,variable,units,quality,prelim,name 
2899,2015-01-05,2,0.6920,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,4,0.5593,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,5,1.0213,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,6,1.1805,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,7,1.3322,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,8,0.9853,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,9,0.7208,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,10,0.6052,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,11,0.5632,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,12,0.4573,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,13,0.4830,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,14,0.5036,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,15,0.5435,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,16,0.9990,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,17,1.3860,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,18,1.7393,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,19,1.2393,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,20,0.8810,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,21,0.8438,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,22,0.8130,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,23,0.5191,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2849,2015-01-06,11,0.4608,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
